name	IPA_D0_2	IPA_D0_3	IPA_D3_1	IPA_D3_3	IPA_D3_4	IPA_D7_2	IPA_D7_4	IPA_D7_5	pbs_D0_2	pbs_D0_3	pbs_D0_5	pbs_D3_1	pbs_D3_4	pbs_D7_4	pbs_D7_5
Prr36	0.472491	0.582391	0.540882	0.573908	0.643462	0.441761	0.654374	0.46775	0.36042	0.360925	0.527103	0.699065	0.934071	0.309297	0.599488
Prr5	10.330704	7.006072	7.548228	3.37139	9.960237	9.061653	9.079474	10.215974	15.14295	12.592991	16.805363	8.554502	3.511449	5.691027	8.970145
Prr5l	0.7061	0.839232	0.404927	1.108628	0.215325	0.555076	0.887405	1.096405	0.487988	0.373382	0.317645	0.453387	0.800879	1.2024	0.738721
Prr7	2.039848	2.002566	2.93721	4.067939	1.209969	0.269827	1.912514	1.436479	1.229036	1.718557	1.672994	2.604187	6.504711	1.381247	3.305045
Prrc1	7.871932	6.432678	6.371322	4.544175	6.803822	6.997794	6.292618	8.579612	5.416587	7.403686	6.359494	4.813675	6.391012	4.975017	7.885168
Prrc2a	32.973092	32.049698	25.221735	26.076424	22.457881	22.458818	25.456826	27.827837	23.05581	27.445087	30.732072	31.254167	32.97324	20.378989	22.863246
Prrc2b	9.474855	7.962795	7.544228	11.403721	4.352529	5.420308	5.433077	6.876924	4.240423	6.105033	5.092502	6.631655	15.680277	6.021635	7.444036
Prrc2c	9.680026	7.257835	6.996235	7.346604	5.503024	8.598691	5.627058	8.24016	5.264725	7.874732	5.134762	5.599258	8.822558	5.398112	6.294111
Prrg1	0.463216	0.288772	0.426141	0.267102	0.290434	0.554645	0.331028	0.198216	0.290034	0.351459	0.517387	0.293511	0.530935	0.369178	0.468379
Prrg2	29.436483	22.04072	20.162184	7.595593	26.613707	25.027565	16.144053	24.44994	27.188663	29.946175	32.14149	20.445819	9.541933	19.661885	15.74929
Prrg3	1.118524	1.026032	0.741462	2.196252	0.324811	0.123503	0.670291	0.628274	0.27466	0.419321	0.647198	0.96181	3.110376	0.95565	0.826652
Prrg4	0.206977	0.076072	0.216104	0.172722	0.025164	0.575212	0.215014	0.260506	0.089406	0.343025	0.051199	0.18595	0.340516	0.122165	0.189197
Prrt1	4.020588	4.360717	4.236602	4.437723	1.958274	1.31274	3.620531	3.316551	1.967586	2.111933	2.162965	3.932382	6.350298	3.149178	5.105682
Prrt2	1.970511	1.362164	1.77381	3.176311	0.68495	0.534496	0.998044	0.517758	0.151372	0.623267	0.568542	0.606144	3.294861	0.979875	1.741551
Prrt3	0.308283	0.21827	0.230307	0.392489	0.138195	0.026254	0.167731	0.183635	0.075946	0.124932	0.160748	0.276491	0.423246	0.212306	0.258842
Prrt4	0.040926	0.096386	0.165545	0.141275	0.108875	0	0.039924	0.083716	0.097676	0.184274	0.136456	0.04891	0.157994	0.130347	0.426106
Prrx1	0.016952	0.04216	0.113498	0	0.047252	0.009221	0.023244	0.015492	0.012728	0.01968	0	0.028441	0.036262	0.058693	0
Prrx2	0.300588	0.141277	0.429757	0.149689	0.132956	0.579787	0.548773	0.317832	0.466606	0.356598	0.938533	0.124575	0.096549	0.261279	0.564596
Prss12	0.162542	0.072271	0.261243	2.120957	0.074251	0.043852	0.103131	0.073199	0.085739	0.015304	0.085695	0.149327	0.297881	0.128363	0.027307
Prss16	0.277224	0.390867	0.165019	0.193227	0.260691	0.964735	1.601973	1.098057	0.395442	1.071356	0.272434	0.476051	0.149336	0.227335	0.448396
Prss23	34.86101	24.877127	34.361306	17.246835	24.070717	12.511294	2.892072	14.222487	38.630118	42.169496	42.131412	4.282448	17.687134	25.251394	40.741295
Prss23os	0.742007	1.687023	1.981314	0.198632	1.695256	0.766699	0.07934	0.381367	4.34247	3.703426	2.700908	0.765681	0.31885	2.273945	1.619112
Prss27	0.684745	0.938789	0.993967	0.116935	1.461807	2.247912	8.525578	2.937956	1.940196	1.055418	1.693911	1.826868	0.508992	1.12271	1.361269
Prss30	276.518451	241.19719	217.968721	111.853109	373.149319	301.884796	204.593267	277.679605	198.183956	250.46797	403.500694	172.815712	61.613282	270.900387	210.95674
